gene_symbol,cluster
MAK,0
MEGF9,0
TNC,0
KIAA0040,0
MAPRE2,0
NR4A3,0
GADD45G,0
UBASH3B,0
NFATC1,0
PPARGC1A,0
MIDN,0
GLIPR2,0
COL5A3,0
THSD4,0
ARHGDIA,0
ICAM1,0
PELI1,0
MYC,0
RAB8B,0
STPG2,0
MYO9B,0
SLC7A10,0
BHLHE40,0
NFKB1,0
GEM,0
TP53I11,0
C8orf34,0
DUSP4,0
PRICKLE1,0
PLIN2,0
SH3BP2,0
SEPTIN9,0
STOM,0
FOSL2,0
ABTB2,0
MPPED2,0
PCSK6,0
ADM,0
ADAMTS9,0
MT1A,0
CDC42EP3,0
NQO1,0
CPHXL2,0
HEG1,0
CRISPLD2,0
TYR,0
CAPN2,0
SCD,0
PER1,0
PLSCR1,0
RBP4,0
WWTR1,0
ANKUB1,0
RFFL,0
RASSF4,0
NRP1,0
YPEL2,0
IQCJ,0
MECOM,0
ULK4,0
THADA,0
ABCA6,0
TET3,0
NEDD9,0
ATP8B4,0
STAT2,0
WTAP,0
CHD1,0
EPB41L4A,0
SLC7A1,0
MARCHF3,0
MAFF,0
AMD1,0
PGAP1,0
MEDAG,0
NRG2,0
TENT5A,0
EGFL6,0
WDFY2,0
RNF149,0
ECE1,0
SMS,0
ADRB2,0
TSPYL2,0
PDGFRB,0
SRM,0
TNMD,0
SLC2A5,0
SUSD6,0
SMOC1,0
UPP2,0
RNF144B,0
SERPINB9,0
TUBB2A,0
KLF5,0
NRP2,0
EYA4,0
MITF,0
STOX2,0
GPCPD1,0
SCIN,0
COL24A1,0
PMEPA1,0
FNBP1L,0
ADISSP,0
NOP56,0
PDLIM3,0
RUNDC3B,0
NPR3,0
PTPN12,0
DAB2,0
ARID5A,0
UPP1,0
ZNF331,0
ROR1,0
AHR,0
PLPP1,0
CYP3A7,0
PPFIA2,1
RGS6,1
PTMA,1
GRM5,1
NALF1,1
TAFA1,1
ARPP21,1
FGF14,1
GRIN2B,1
DCN,1
COL3A1,1
KLRD1,1
CACNA1C,1
GRIA4,1
UBC,1
ETS1,1
HSPA8,1
PLCL1,1
MYL6,1
DOCK3,1
BTG1,1
TXN,1
FTH1,1
NRCAM,1
GALNTL6,1
SERPINE1,1
CDH18,1
CDH12,1
COL1A2,1
C7,1
ACTB,1
MAP1B,1
NKAIN2,1
KCND2,1
TRDN,1
BACH2,1
EEF1A1,1
ADGRB3,1
PPP2R2B,1
HSP90AB1,1
RPL10A,1
HLA-E,1
NPM1,1
DUSP1,1
RIPOR2,1
GRIK2,1
DGKI,1
DPP6,1
CSMD1,1
CD44,1
SAA1,1
CD96,1
HBB,1
LSAMP,1
RPLP2,1
IFITM3,1
TF,1
ANK3,1
PEX5L,1
FGF12,1
FOS,1
KCNIP4,1
MT-ATP6,1
IGFBP7,1
ADGRL3,1
CSN1S1,1
GC,1
PTPRD,1
GRID2,1
UNC5C,1
PABPC1,1
ANK2,1
CADM2,1
NRXN3,1
MT-ND3,1
UNC79,1
LRRTM4,1
NEGR1,1
HBA2,1
APOE,1
SERF2,1
PLCB1,1
SAT1,1
PLA2G2A,1
ENO1,1
MT2A,1
ACTG1,1
FOSB,1
S100A4,1
FTL,1
JUNB,1
B2M,1
YBX1,1
H3-3B,1
ZFP36L2,1
AGBL4,1
ZFP36,1
S100A10,1
EIF1,1
LRP1B,1
SERPINA3,1
JUN,1
SLC8A1,1
KLF2,1
NCAM2,1
CCL2,1
RBFOX1,1
EIF4A1,1
HSP90AA1,1
RPL4,1
GNB2,2
SPTAN1,2
NR2F2,2
ELN,2
TAF1D,2
EGFLAM,2
BACH1,2
ST3GAL1,2
RETREG1,2
IL6R,2
MRPL41,2
RASGEF1B,2
DNM1,2
RRBP1,2
SF3B2,2
CTSB,2
PRR5L,2
KIAA1217,2
ACTN4,2
ATP1A1,2
DDX21,2
P2RY12,2
IFIT1,2
MYO1D,2
SULF1,2
HPSE2,2
SHISA6,2
ATP1B3,2
PTPN22,2
RBM20,2
HSPA12A,2
CDV3,2
MAP1LC3B,2
PDE5A,2
ALDH1L1,2
MAF,2
ARHGAP31,2
ITGA8,2
CDKN1C,2
EBF2,2
PRMT1,2
